"","tissue","cells"
"tconv_tumor_patient10","tissue: breast tumor","cell type: Conventional CD4 T cells"
"cd177negtreg_tumor_patient10","tissue: breast tumor","cell type: Regulatory T cells"
"cd177postreg_tumor_patient10","tissue: breast tumor","cell type: Regulatory T cells"
"tconv_tumor_patient1","tissue: breast tumor","cell type: Conventional CD4 T cells"
"treg_tumor_patient1","tissue: breast tumor","cell type: Regulatory T cells"
"tconv_NBP_patient2","tissue: NBP","cell type: Conventional CD4 T cells"
"treg_NBP_patient2","tissue: NBP","cell type: Regulatory T cells"
"tconv_tumor_patient2","tissue: breast tumor","cell type: Conventional CD4 T cells"
"cd177negtreg_tumor_patient2","tissue: breast tumor","cell type: Regulatory T cells"
"cd177postreg_tumor_patient2","tissue: breast tumor","cell type: Regulatory T cells"
"tconv_NBP_patient3","tissue: NBP","cell type: Conventional CD4 T cells"
"treg_NBP_patient3","tissue: NBP","cell type: Regulatory T cells"
"tconv_tumor_patient3","tissue: breast tumor","cell type: Conventional CD4 T cells"
"cd177negtreg_tumor_patient3","tissue: breast tumor","cell type: Regulatory T cells"
"cd177postreg_tumor_patient3","tissue: breast tumor","cell type: Regulatory T cells"
"tconv_NBP_patient4","tissue: NBP","cell type: Conventional CD4 T cells"
"treg_NBP_patient4","tissue: NBP","cell type: Regulatory T cells"
"tconv_tumor_patient4","tissue: breast tumor","cell type: Conventional CD4 T cells"
"cd177negtreg_tumor_patient4","tissue: breast tumor","cell type: Regulatory T cells"
"cd177postreg_tumor_patient4","tissue: breast tumor","cell type: Regulatory T cells"
"treg_tumor_patient5","tissue: breast tumor","cell type: Regulatory T cells"
"tconv_tumor_patient5","tissue: breast tumor","cell type: Conventional CD4 T cells"
"tconv_tumor_patient6","tissue: breast tumor","cell type: Conventional CD4 T cells"
"cd177negtreg_tumor_patient6","tissue: breast tumor","cell type: Regulatory T cells"
"cd177postreg_tumor_patient6","tissue: breast tumor","cell type: Regulatory T cells"
"tconv_NBP_patient7","tissue: NBP","cell type: Conventional CD4 T cells"
"treg_NBP_patient7","tissue: NBP","cell type: Regulatory T cells"
"tconv_NBP_patient8","tissue: NBP","cell type: Conventional CD4 T cells"
"treg_NBP_patient8","tissue: NBP","cell type: Regulatory T cells"
"treg_tumor_patient8","tissue: breast tumor","cell type: Regulatory T cells"
"tconv_tumor_patient8","tissue: breast tumor","cell type: Conventional CD4 T cells"
"tconv_NBP_patient9","tissue: NBP","cell type: Conventional CD4 T cells"
"treg_NBP_patient9","tissue: NBP","cell type: Regulatory T cells"
"tconv_tumor_patient9","tissue: breast tumor","cell type: Conventional CD4 T cells"
